위치,위도,경도
석계,37.6150815,127.0657675
태릉입구,37.6179085,127.0750345
화랑대(서울여대입구),37.620513,127.084244
봉화산(서울의료원),37.617372,127.091296
장암,37.699655,127.052276
청량리(서울시립대입구),37.581381,127.048958
외대앞,37.595518,127.059615
신이문,37.601829,127.067347
도봉산,37.689596,127.0461945
수락산,37.677881,127.055293
마들,37.665375,127.057614
노원,37.654527,127.060551
중계,37.645494,127.063907
하계,37.637576,127.0725939
공릉(서울과학기술대),37.625787,127.072894
태릉입구,37.6179085,127.0750345
먹골,37.61078,127.077707
중화,37.602572,127.079285
지평,37.4764956,127.6296807
용문,37.482468,127.594471
원덕,37.468585,127.547468
양평,37.492778,127.492149
오빈,37.50606,127.474053
국수,37.516196,127.399501
신원,37.52592,127.372745
양수,37.545998,127.328948
운길산,37.554659,127.310089
팔당,37.547376,127.243813
도심,37.579628,127.222798
덕소,37.587199,127.208547
양정,37.604269,127.194602
인천,37.476364,126.616936
산본,37.358019,126.932969
대야미,37.328304,126.91716
반월,37.312244,126.903684
상록수,37.3028447,126.8665333
한대앞,37.309685,126.853656
중앙,37.316055,126.838532
고잔,37.316821,126.823094
초지,37.32058300000001,126.806151
안산,37.327006,126.788748
정왕,37.34860159999999,126.7271088
광명사거리,37.4793066,126.8546747
석계,37.6150815,127.0657675
광운대,37.6237325,127.061817
종합운동장,37.51105099999999,127.073774
봉은사,37.514221,127.060266
삼성중앙,37.5127824,127.0528466
선정릉,37.5102747,127.0438167
언주,37.5073091,127.0344101
신논현,37.504724,127.02538
사평,0,0
고속터미널,37.5049142,127.0049151
신반포,37.503487,126.996017
구반포,37.501431,126.987427
동작(현충원),37.503062,126.9790995
흑석(중앙대입구),37.5090394,126.9634769
노들,37.513416,126.952213
노량진,37.514072,126.94167
샛강,37.516737,126.928873
여의도,37.5215695,126.9243115
국회의사당,37.528128,126.917853
당산,37.5340278,126.9019901
선유도,37.537855,126.89391
신목동,37.544267,126.883077
염창,37.546965,126.874839
등촌,37.551303,126.8645185
증미,37.55812900000001,126.860606
철산,37.4759465,126.8682506
가산디지털단지,37.48089,126.8825735
남구로,37.486087,126.887272
대림(구로구청),37.4930835,126.8957865
신풍,37.50013,126.908969
사릉,37.651145,127.176839
퇴계원,37.648316,127.143858
별내,37.64222000000001,127.127208
갈매,37.6348265,127.1156625
신내,37.6126681,127.1032958
도화,37.4661538,126.6684603
중동,37.486664,126.764474
온수(성공회대입구),37.4921505,126.8236345
도원,37.468604,126.642824
간석,37.464689,126.693408
연신내,37.618812,126.920842
독바위,37.618387,126.933037
불광,37.6105025,126.9298435
역촌,37.607751,126.9211966
응암,37.598472,126.915592
마천,37.49502,127.15279
거여,37.4900434,127.1462058
개롱,37.4981619,127.1346598
오금,37.5022335,127.128354
방이,37.508559,127.12596
올림픽공원(한국체대),37.516628,127.13109
둔촌동,37.527657,127.136231
상일동,37.5570545,127.169184
고덕,37.555051,127.15411
명일,37.55131,127.144014
굽은다리(강동구민회관앞),37.545539,127.142906
길동,37.537769,127.139992
강동,37.53594,127.132187
보라매,37.499929,126.920282
신대방삼거리,37.499717,126.928189
장승배기,37.504905,126.939191
상도,37.4989895,126.9377193
숭실대입구(살피재),37.496374,126.953504
남성,37.484876,126.970673
이수,37.486491,126.981876
내방,37.487707,126.993598
고속터미널,37.5049142,127.0049151
도농,37.608756,127.161105
구리,37.6033064,127.1432928
양원,36.963209,129.09113
망우,37.598603,127.092882
상봉(시외버스터미널),37.5952536,127.0858527
중랑,37.594948,127.076152
회기,37.58975600000001,127.057977
신창(순천향대),36.769213,126.950129
가양,37.561553,126.854244
양천향교,37.568105,126.841909
마곡나루,37.566876,126.8271565
신방화,37.5675046,126.8166665
공항시장,37.5623155,126.8086965
월계,37.633114,127.058835
녹천,37.644599,127.051406
창동,37.648965,127.0433646
방학,37.66747,127.044295
도봉,37.679441,127.045521
도봉산,37.689596,127.0461945
망월사,37.710499,127.04736
회룡,37.724522,127.0472035
의정부,37.7387295,127.0458908
가능,37.748362,127.044251
온양온천,36.7804187,127.0037072
배방,36.77753999999999,127.052751
아산,36.793231,127.104708
반포,37.508213,127.011847
논현,37.511206,127.021728
학동,37.5135304,127.0315341
강남구청,37.517473,127.0411685
청담,37.51912,127.051937
뚝섬유원지,37.531537,127.066691
건대입구,37.540389,127.069236
어린이대공원(세종대),37.54790500000001,127.074593
군자(능동),0,0
중곡,37.565535,127.084086
용마산,37.57379299999999,127.086818
사가정,37.580966,127.088503
면목,37.588745,127.087494
상봉(시외버스터미널),37.5952536,127.0858527
녹양,37.759416,127.042272
양주,37.773956,127.044782
덕계,37.81876,127.056676
덕정,37.843216,127.061511
지행,37.892361,127.055734
동두천중앙,37.901673,127.056409
보산,37.914268,127.057134
동두천,37.926664,127.054992
소요산,37.947099,127.060681
서울역,37.5536067,126.9696195
신촌,37.559768,126.942308
효창공원앞,37.539289,126.961339
공덕,37.54322,126.951576
서강대,37.552132,126.935389
홍대입구,37.557527,126.9244669
가좌,37.56861,126.914841
디지털미디어시티,37.5779636,126.9004205
수색,37.5840042,126.8955434
화전,37.60326999999999,126.867937
강매,37.6125959,126.8454369
행신,37.611846,126.834059
능곡,37.618741,126.820845
곡산,37.645892,126.8017
백마,37.658346,126.7944
풍산,37.672173,126.786355
일산,37.681997,126.77004
탄현,37.693882,126.761161
오이도,37.362241,126.738626
수리산,37.350297,126.925537
북한산우이,37.6629,127.012778
솔밭공원,37.656039,127.013259
야당,37.7127491,126.7615354
운정,37.725402,126.767152
금릉,37.751265,126.765664
천호(풍납토성),37.538289,127.1233835
광나루(장신대),0,0
아차산(어린이대공원후문),37.551204,127.090073
군자(능동),0,0
장한평,37.56147199999999,127.064657
답십리,37.567072,127.052382
마장,37.566127,127.042965
왕십리(성동구청),37.5611284,127.035505
행당,37.557402,127.029637
신금호,37.554468,127.020794
청구,37.5591145,127.0131005
동대문역사문화공원,37.565102,127.007765
을지로4가,37.5670145,126.9978305
종로3가,37.5715,126.9912475
광화문(세종문화회관),37.5725254,126.9756429
서대문,37.56577,126.96665
충정로(경기대입구),37.560055,126.963672
애오개,37.55359,126.956739
공덕,37.54322,126.951576
마포,37.539705,126.94604
여의나루,37.527141,126.93281
여의도,37.5215695,126.9243115
신길,37.517346,126.9164095
영등포시장,37.521638,126.9049865
영등포구청,37.5248203,126.8959946
양평,37.492778,127.492149
오목교(목동운동장앞),37.524553,126.87505
목동,37.526072,126.864301
신정(은행정),37.524977,126.856164
금촌,37.766106,126.774515
월롱,37.795549,126.792602
파주,37.81539,126.792426
문산,37.8545648,126.7875312
서울역,37.5536067,126.9696195
공덕,37.54322,126.951576
홍대입구,37.557527,126.9244669
김포공항,37.5618288,126.8019274
계양,37.571594,126.7363805
검암,37.5692314,126.6736077
개봉,37.494698,126.858504
오류동,37.49440000000001,126.844551
역곡,37.4851398,126.8116223
부천,37.4840664,126.7827787
송내,37.487626,126.753045
부평,37.49038609999999,126.7236421
백운,37.483301,126.707179
동암,37.470869,126.702884
주안,37.4650414,126.6807024
제물포,37.466809,126.657165
동인천,37.475414,126.632598
인천,37.476364,126.616936
구일,37.496273,126.869599
소사,37.482755,126.795654
부개,37.488479,126.740549
쌍용(나사렛대),36.793745,127.121363
봉명,36.801578,127.136319
대화,37.6758831,126.7477558
주엽,37.670186,126.7611005
정발산,37.6596496,126.7732889
아신,37.513498,127.443096
마두,37.652185,126.777641
백석,37.642973,126.788109
대곡,37.631957,126.8102965
화정,37.63459,126.832645
원당,37.65332799999999,126.843006
삼송,37.653096,126.895559
원흥,37.650709,126.873239
신설동,37.575326,127.0248495
보문,37.5803121,127.0227704
성신여대입구(돈암),37.59272,127.016544
정릉,0,0
북한산보국문,0,0
솔샘,0,0
삼양사거리,0,0
삼양,0,0
화계,0,0
가오리,0,0
까치산,37.5317675,126.8467055
화곡,37.54157800000001,126.840436
우장산,37.548783,126.836334
발산,37.55868299999999,126.837595
마곡,37.5619185,126.826919
송정,35.187583,129.202405
김포공항,37.5618288,126.8019274
개화산,37.572455,126.806839
방화,37.5764563,126.813873
사당,37.476559,126.981633
총신대입구(이수),37.486491,126.981876
동작(현충원),37.503062,126.9790995
이촌(국립중앙박물관),37.5224761,126.9738155
신용산,37.529187,126.967886
삼각지,37.5350315,126.9734515
숙대입구(갈월),37.545097,126.971987
서울역,37.5536067,126.9696195
회현(남대문시장),37.5547125,126.9707878
명동,37.5609892,126.9861868
충무로,37.5609739,126.9935287
동대문역사문화공원,37.565102,127.007765
동대문,0,0
혜화,37.58208,127.001892
