위치,위도,경도
석계,37.6150815,127.0657675
태릉입구,37.6179085,127.0750345
화랑대(서울여대입구),37.620513,127.084244
봉화산(서울의료원),37.6127332,127.0982555
장암,0,0
청량리(서울시립대입구),37.581381,127.048958
외대앞,37.595518,127.059615
신이문,37.601829,127.067347
도봉산,37.7004635,127.0156843
수락산,37.696493,127.0822334
마들,37.665375,127.057614
노원,37.6541917,127.056793
중계,0,0
하계,37.63595,127.068213
공릉(서울과학기술대),37.6316684,127.0774813
태릉입구,37.6179085,127.0750345
먹골,37.61078,127.077707
중화,33.0673259,-96.69528679999999
지평,0,0
용문,37.482468,127.594471
원덕,0,0
양평,37.4912195,127.4875607
오빈,37.50606,127.474053
국수,34.056166,-118.3095023
신원,33.9874116,-117.8948895
양수,0,0
운길산,37.5720399,127.2951884
팔당,0,0
도심,0,0
덕소,37.587199,127.208547
양정,35.17172410000001,129.0718241
인천,37.4562557,126.7052062
산본,37.3594144,126.9207863
대야미,37.3259505,126.9190313
반월,37.3060655,126.9022899
상록수,34.054268,-118.3214492
한대앞,37.309685,126.853656
중앙,42.0147387,-87.96026669999999
고잔,37.316821,126.823094
초지,0,0
안산,37.3218778,126.8308848
정왕,0,0
광명사거리,37.4793066,126.8546747
석계,37.6150815,127.0657675
광운대,37.6194965,127.0596958
종합운동장,37.5157882,127.0727934
봉은사,37.514852,127.0573766
삼성중앙,37.5127824,127.0528466
선정릉,37.506951,127.0518735
언주,0,0
신논현,37.504724,127.02538
사평,37.504448,127.014759
고속터미널,37.5054076,127.0070817
신반포,37.5049806,126.9955997
구반포,37.501431,126.987427
동작(현충원),37.5001763,126.9731999
흑석(중앙대입구),37.5090394,126.9634769
노들,37.5177627,126.9596671
노량진,37.5110026,126.9416329
샛강,37.516737,126.928873
여의도,37.5285732,126.9289741
국회의사당,38.8034418,-77.0512
당산,37.5340278,126.9019901
선유도,35.8106824,126.4162652
신목동,37.544267,126.883077
염창,37.5540319,126.8717993
등촌,37.558653,126.8532512
증미,37.55812900000001,126.860606
철산,37.47934619999999,126.8719535
가산디지털단지,37.48089,126.8825735
남구로,37.486087,126.887272
대림(구로구청),37.4930835,126.8957865
신풍,0,0
사릉,37.64725869999999,127.1974357
퇴계원,37.6493095,127.1446338
별내,37.64222000000001,127.127208
갈매,37.6348265,127.1156625
신내,37.6103313,127.0960772
도화,37.4661538,126.6684603
중동,29.2985278,42.5509603
온수(성공회대입구),37.4921505,126.8236345
도원,0,0
간석,37.465607,126.7109699
연신내,37.618812,126.920842
독바위,37.618387,126.933037
불광,37.6183087,126.9390451
역촌,37.6044517,126.9169535
응암,37.5926646,126.9205206
마천,37.4976485,127.1530166
거여,37.4900434,127.1462058
개롱,37.4981619,127.1346598
오금,37.5029895,127.1278734
방이,0,0
올림픽공원(한국체대),37.516628,127.13109
둔촌동,37.5272032,127.144105
상일동,37.55110639999999,127.1646653
고덕,37.5632814,127.1570594
명일,0,0
굽은다리(강동구민회관앞),37.5457347,127.1410931
길동,37.5392074,127.1461206
강동,37.5301251,127.123762
보라매,37.4880718,126.9326988
신대방삼거리,37.499717,126.928189
장승배기,37.504905,126.939191
상도,42.4675698,-83.4747718
숭실대입구(살피재),37.496375,126.956879
남성,0,0
이수,0,0
내방,0,0
고속터미널,37.5054076,127.0070817
도농,0,0
구리,37.5943124,127.1295646
양원,0,0
망우,37.60002619999999,127.1068617
상봉(시외버스터미널),37.5964325,127.092976
중랑,37.6065602,127.0926519
회기,37.58975600000001,127.057977
신창(순천향대),36.769213,126.950129
가양,37.5648322,126.8342406
양천향교,37.5730593,126.8398439
마곡나루,37.566876,126.8271565
신방화,37.5675046,126.8166665
공항시장,37.5623155,126.8086965
월계,37.6286119,127.0560713
녹천,37.644599,127.051406
창동,37.648965,127.0433646
방학,0,0
도봉,37.6687738,127.0470706
도봉산,37.7004635,127.0156843
망월사,37.7047131,127.0214058
회룡,37.724522,127.0472035
의정부,37.73809800000001,127.0336819
가능,0,0
온양온천,36.78102320000001,127.0157344
배방,36.775092,127.0567969
아산,36.789796,127.0018494
반포,37.5031833,127.0079167
논현,37.5135304,127.0315341
학동,37.5135304,127.0315341
강남구청,37.5172363,127.0473248
청담,37.3520329,-121.9843693
뚝섬유원지,37.531537,127.066691
건대입구,37.540389,127.069236
어린이대공원(세종대),37.54790500000001,127.074593
군자(능동),0,0
중곡,37.5626197,127.0853672
용마산,37.57379299999999,127.086818
사가정,37.580966,127.088503
면목,0,0
상봉(시외버스터미널),37.5964325,127.092976
녹양,37.7600403,127.0322644
양주,37.7852875,127.0458453
덕계,35.3756717,129.1534622
덕정,37.8457303,127.0636014
지행,37.8899792,127.0643046
동두천중앙,37.8916075,127.0580358
보산,37.914268,127.057134
동두천,37.9034112,127.0605075
소요산,37.9426296,127.0878091
서울역,37.5536067,126.9696195
신촌,37.5594793,126.9435838
효창공원앞,37.539289,126.961339
공덕,37.54322,126.951576
서강대,37.5513365,126.9407529
홍대입구,40.8443399,-74.0051453
가좌,37.4863961,126.678725
디지털미디어시티,37.577678,126.8921328
수색,0,0
화전,0,0
강매,37.6125959,126.8454369
행신,37.611846,126.834059
능곡,37.618741,126.820845
곡산,38.7854902,126.6688765
백마,0,0
풍산,33.8883789,-118.1722754
일산,37.6783756,126.7711774
탄현,37.6943206,126.7680971
오이도,37.362241,126.738626
수리산,37.3661968,126.9027047
북한산우이,37.660833,126.993333
솔밭공원,37.4164159,126.6903156
야당,0,0
운정,37.725402,126.767152
금릉,0,0
천호(풍납토성),37.5386797,127.1223729
광나루(장신대),37.5505112,127.1034577
아차산(어린이대공원후문),37.552404,127.089107
군자(능동),0,0
장한평,37.570627,127.0706515
답십리,37.5696589,127.0576058
마장,0,0
왕십리(성동구청),37.563453,127.036964
행당,37.5574629,127.0347413
신금호,37.554468,127.020794
청구,0,0
동대문역사문화공원,37.565102,127.007765
을지로4가,37.5670145,126.9978305
종로3가,37.5715,126.9912475
광화문(세종문화회관),37.5725254,126.9756429
서대문,37.5791158,126.9367789
충정로(경기대입구),37.560055,126.963672
애오개,37.55359,126.956739
공덕,37.54322,126.951576
마포,37.5637561,126.9084211
여의나루,37.527141,126.93281
여의도,0,0
신길,37.5062485,126.9139521
영등포시장,37.521638,126.9049865
영등포구청,37.526344,126.896256
양평,37.4912195,127.4875607
오목교(목동운동장앞),37.524553,126.87505
목동,37.5370192,126.8735297
신정(은행정),37.524977,126.856164
금촌,37.766106,126.774515
월롱,37.7958721,126.7902105
파주,37.7598688,126.7801781
문산,37.8530229,126.7842319
서울역,37.5536067,126.9696195
공덕,37.54322,126.951576
홍대입구,40.8443399,-74.0051453
김포공항,37.5586545,126.7944739
계양,37.53695039999999,126.7377435
검암,37.5692314,126.6736077
개봉,34.797281,114.307582
오류동,37.4901258,126.8385254
역곡,37.4851398,126.8116223
부천,37.5034138,126.7660309
송내,37.487626,126.753045
부평,37.5069818,126.7217739
백운,0,0
동암,41.3122198,-72.93505800000001
주안,37.4565562,126.6845807
제물포,37.466809,126.657165
동인천,37.475414,126.632598
인천,37.4562557,126.7052062
구일,0,0
소사,37.4802924,126.800017
부개,37.4946227,126.7380521
쌍용(나사렛대),36.7951312,127.1190051
봉명,0,0
대화,0,0
주엽,37.670186,126.7611005
정발산,37.6596496,126.7732889
아신,32.9848184,-96.8647112
마두,37.6586299,126.7834544
백석,0,0
대곡,37.631957,126.8102965
화정,37.6378374,126.8325027
원당,33.8851505,-117.9975507
삼송,37.653096,126.895559
원흥,37.6466646,126.8703759
신설동,37.575326,127.0248495
보문,0,0
성신여대입구(돈암),37.59272,127.016544
정릉,37.6021121,127.0061045
북한산보국문,0,0
솔샘,0,0
삼양사거리,0,0
삼양,0,0
화계,0,0
가오리,33.874332,-117.9258094
까치산,37.5317675,126.8467055
화곡,37.53811839999999,126.8471024
우장산,37.5522008,126.8428442
발산,0,0
마곡,37.5619185,126.826919
송정,35.1836122,129.2036296
김포공항,37.5586545,126.7944739
개화산,37.5827778,126.8038889
방화,0,0
사당,37.476559,126.981633
총신대입구(이수),37.486491,126.981876
동작(현충원),37.5001763,126.9731999
이촌(국립중앙박물관),37.5238506,126.9804702
신용산,37.529187,126.967886
삼각지,37.5350315,126.9734515
숙대입구(갈월),37.545097,126.971987
서울역,37.5536067,126.9696195
회현(남대문시장),37.5547125,126.9707878
명동,37.55998,126.9858296
충무로,37.5651176,126.99278
동대문역사문화공원,37.565102,127.007765
동대문,37.5711389,127.0095452
혜화,37.58208,127.001892
한성대입구(삼선교),37.588374,127.005907
성신여대입구(돈암),37.59272,127.016544
